Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow
20110308,11:45,10934.90,10779.15,True,False,True,False,10962.70,27.80,10849.85,-85.05,10779.15,0.00,10779.15,0.00,10942.65,7.75,-163.50
20110309,11:45,11054.00,10904.60,False,False,False,False,11054.00,0.00,11054.00,0.00,10904.60,0.00,10904.60,0.00,10955.20,-98.80,-50.60
20110310,11:45,10913.10,10783.30,False,False,False,False,10913.10,0.00,10913.10,0.00,10783.30,0.00,10783.30,0.00,10842.75,-70.35,-59.45
20110311,11:45,10904.20,10757.40,False,True,False,True,10904.20,0.00,10904.20,0.00,10697.10,60.30,10805.15,-47.75,10733.75,-170.45,23.65
20110314,11:45,10872.05,10731.85,True,False,True,False,10916.65,44.60,10769.15,-102.90,10731.85,0.00,10731.85,0.00,10908.50,36.45,-176.65
20110315,11:45,10747.60,10591.30,True,False,True,False,10784.20,36.60,10683.30,-64.30,10591.30,0.00,10591.30,0.00,10742.50,-5.10,-151.20
20110316,11:45,10932.40,10804.80,True,False,True,False,11001.25,68.85,10909.85,-22.55,10804.80,0.00,10804.80,0.00,10959.55,27.15,-154.75
20110317,11:45,11018.30,10861.45,False,True,False,True,11018.30,0.00,11018.30,0.00,10824.40,37.05,10993.00,-131.55,10861.40,-156.90,0.05
20110318,11:45,10927.25,10756.90,False,True,False,True,10927.25,0.00,10927.25,0.00,10699.40,57.50,10794.75,-37.85,10707.05,-220.20,49.85
20110321,11:45,10814.75,10661.15,False,False,False,False,10814.75,0.00,10814.75,0.00,10661.15,0.00,10661.15,0.00,10736.20,-78.55,-75.05
20110322,11:45,10819.35,10726.25,True,False,True,False,10822.25,2.90,10743.20,-76.15,10726.25,0.00,10726.25,0.00,10776.90,-42.45,-50.65
20110323,11:45,10942.40,10744.70,True,False,True,False,10972.30,29.90,10908.70,-33.70,10744.70,0.00,10744.70,0.00,10948.15,5.75,-203.45
20110324,11:45,11112.60,11006.40,False,False,False,False,11112.60,0.00,11112.60,0.00,11006.40,0.00,11006.40,0.00,11075.95,-36.65,-69.55
20110325,11:45,11184.00,11136.45,True,False,True,False,11420.40,236.40,11146.50,-37.50,11136.45,0.00,11136.45,0.00,11361.10,177.10,-224.65
20110328,11:45,11557.30,11348.15,True,False,True,False,11599.00,41.70,11492.55,-64.75,11348.15,0.00,11348.15,0.00,11504.80,-52.50,-156.65
20110329,11:45,11607.40,11507.45,True,False,True,False,11657.60,50.20,11563.35,-44.05,11507.45,0.00,11507.45,0.00,11565.15,-42.25,-57.70
20110330,11:45,11698.85,11627.70,True,False,True,False,11796.90,98.05,11685.55,-13.30,11627.70,0.00,11627.70,0.00,11790.45,91.60,-162.75
20110331,11:45,11898.40,11808.80,False,True,False,True,11898.40,0.00,11898.40,0.00,11569.25,239.55,11882.05,-73.25,11721.05,-177.35,87.75
20110401,11:45,11738.45,11540.85,False,False,False,False,11738.45,0.00,11738.45,0.00,11540.85,0.00,11540.85,0.00,11600.35,-138.10,-59.50
20110404,11:45,11702.25,11624.55,True,False,True,False,11840.70,138.45,11686.95,-15.30,11624.55,0.00,11624.55,0.00,11802.90,100.65,-178.35
20110405,11:45,11861.15,11678.10,False,False,False,False,11861.15,0.00,11861.15,0.00,11678.10,0.00,11678.10,0.00,11785.95,-75.20,-107.85
20110406,11:45,11838.05,11686.55,False,False,False,False,11838.05,0.00,11838.05,0.00,11686.55,0.00,11686.55,0.00,11720.85,-117.20,-34.30
20110407,11:45,11731.45,11656.70,True,False,True,False,11825.00,93.55,11721.45,-10.00,11656.70,0.00,11656.70,0.00,11751.65,20.20,-94.95
20110408,11:45,11853.35,11666.50,False,True,False,True,11853.35,0.00,11853.35,0.00,11632.55,33.95,11750.80,-84.30,11674.55,-178.80,-8.05
20110411,11:45,11629.55,11551.75,True,False,True,False,11637.00,7.45,11572.55,-57.00,11551.75,0.00,11551.75,0.00,11575.15,-54.40,-23.40
20110413,11:45,11727.75,11490.55,True,False,True,False,11855.85,128.10,11684.95,-42.80,11490.55,0.00,11490.55,0.00,11849.40,121.65,-358.85
20110415,11:45,11950.70,11807.40,False,True,False,True,11950.70,0.00,11950.70,0.00,11707.60,99.80,11904.50,-97.10,11727.95,-222.75,79.45
20110418,11:45,11887.10,11593.10,False,True,False,True,11887.10,0.00,11887.10,0.00,11525.05,68.05,11695.95,-102.85,11554.80,-332.30,38.30
20110419,11:45,11631.15,11482.15,False,False,False,False,11631.15,0.00,11631.15,0.00,11482.15,0.00,11482.15,0.00,11584.20,-46.95,-102.05
20110420,11:45,11740.30,11655.60,True,True,True,True,11811.20,70.90,11614.60,-125.70,11614.60,41.00,11811.20,-155.60,11801.15,60.85,-145.55
20110421,11:45,11926.05,11836.95,False,False,False,False,11926.05,0.00,11926.05,0.00,11836.95,0.00,11836.95,0.00,11887.25,-38.80,-50.30
20110425,11:45,11978.05,11865.30,False,False,False,False,11978.05,0.00,11978.05,0.00,11865.30,0.00,11865.30,0.00,11870.45,-107.60,-5.15
20110426,11:45,11901.30,11713.70,True,True,True,True,11912.45,11.15,11709.80,-191.50,11709.80,3.90,11912.45,-198.75,11854.80,-46.50,-141.10
20110427,11:45,11936.35,11815.70,False,True,False,True,11936.35,0.00,11936.35,0.00,11732.25,83.45,11847.80,-32.10,11787.05,-149.30,28.65
20110428,11:45,11855.20,11740.70,False,True,False,True,11855.20,0.00,11855.20,0.00,11659.50,81.20,11778.60,-37.90,11665.30,-189.90,75.40
20110429,11:45,11723.25,11566.95,False,True,False,True,11723.25,0.00,11723.25,0.00,11406.85,160.10,11611.45,-44.50,11491.10,-232.15,75.85
20110502,11:45,11543.35,11263.15,False,True,False,True,11543.35,0.00,11543.35,0.00,11204.65,58.50,11316.90,-53.75,11228.90,-314.45,34.25
20110503,11:45,11349.50,11023.35,False,True,False,True,11349.50,0.00,11349.50,0.00,10849.15,174.20,11076.35,-53.00,10909.75,-439.75,113.60
20110504,11:45,10952.60,10797.60,True,False,True,False,11013.40,60.80,10836.80,-115.80,10797.60,0.00,10797.60,0.00,10921.45,-31.15,-123.85
20110505,11:45,10987.60,10818.50,False,True,False,True,10987.60,0.00,10987.60,0.00,10678.60,139.90,10906.15,-87.65,10688.80,-298.80,129.70
20110506,11:45,11031.80,10797.10,True,False,True,False,11167.40,135.60,10919.60,-112.20,10797.10,0.00,10797.10,0.00,11126.40,94.60,-329.30
20110509,11:45,11213.50,10956.35,False,False,False,False,11213.50,0.00,11213.50,0.00,10956.35,0.00,10956.35,0.00,11082.25,-131.25,-125.90
20110510,11:45,11096.90,10963.10,False,True,False,True,11096.90,0.00,11096.90,0.00,10945.70,17.40,11080.35,-117.25,11012.90,-84.00,-49.80
20110511,11:45,11043.90,10904.10,True,False,True,False,11097.25,53.35,10965.10,-78.80,10904.10,0.00,10904.10,0.00,11062.10,18.20,-158.00
20110512,11:45,11076.00,10976.95,False,True,False,True,11076.00,0.00,11076.00,0.00,10865.15,111.80,11010.90,-33.95,10884.20,-191.80,92.75
20110513,11:45,11086.10,10838.15,True,False,True,False,11180.40,94.30,10986.50,-99.60,10838.15,0.00,10838.15,0.00,11062.25,-23.85,-224.10
20110516,11:45,10969.80,10909.65,True,True,True,True,10970.00,0.20,10878.65,-91.15,10878.65,31.00,10970.00,-60.35,10912.20,-57.60,-2.55
20110517,11:45,10972.45,10842.80,False,True,False,True,10972.45,0.00,10972.45,0.00,10617.15,225.65,10901.45,-58.65,10667.40,-305.05,175.40
20110518,11:45,10695.70,10582.55,False,True,False,True,10695.70,0.00,10695.70,0.00,10550.95,31.60,10670.55,-88.00,10598.30,-97.40,-15.75
20110519,11:45,10674.70,10574.95,False,True,False,True,10674.70,0.00,10674.70,0.00,10524.35,50.60,10613.60,-38.65,10571.70,-103.00,3.25
20110520,11:45,10702.40,10540.95,True,False,True,False,10727.25,24.85,10580.80,-121.60,10540.95,0.00,10540.95,0.00,10653.95,-48.45,-113.00
20110523,11:45,10606.40,10405.45,False,True,False,True,10606.40,0.00,10606.40,0.00,10339.95,65.50,10421.25,-15.80,10347.45,-258.95,58.00
20110524,11:45,10472.85,10360.75,True,False,True,False,10524.80,51.95,10384.15,-88.70,10360.75,0.00,10360.75,0.00,10431.40,-41.45,-70.65
20110525,11:45,10428.25,10366.20,False,True,False,True,10428.25,0.00,10428.25,0.00,10340.65,25.55,10421.05,-54.85,10363.60,-64.65,2.60
20110526,11:45,10494.55,10379.25,True,False,True,False,10501.90,7.35,10379.60,-114.95,10379.25,0.00,10379.25,0.00,10468.60,-25.95,-89.35
