Date,Time,DayHigh,DayLow,IsDayHighBreak,IsDayLowBreak,ComesBackToDayHigh,ComesBackToDayLow,TargetHigh,points_from_target_high,SLHigh,points_from_SL_High,TargetLow,points_from_Target_Low,SLLow,points_from_SL_low,Closing,ClosingPointDiffForHigh,ClosingPointDiffForLow,noBreak
20110223,13:00,10857.85,10761.30,False,True,False,True,0.00,0.00,0.00,0.00,10628.65,132.65,10837.15,-75.85,10650.85,0.00,110.45,False
20110224,13:00,10643.25,10427.40,False,True,False,True,0.00,0.00,0.00,0.00,10169.00,258.40,10451.90,-24.50,10257.50,0.00,169.90,False
20110225,13:00,10510.50,10263.15,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10472.85,0.00,0.00,True
20110228,13:00,10627.70,10364.35,True,False,True,False,10744.85,117.15,10405.85,-221.85,0.00,0.00,0.00,0.00,10434.95,-192.75,0.00,False
20110301,13:00,10802.95,10528.35,True,False,True,False,10906.15,103.20,10765.10,-37.85,0.00,0.00,0.00,0.00,10885.30,82.35,0.00,False
20110303,13:00,11066.40,10759.70,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10894.35,0.00,0.00,True
20110304,13:00,11134.10,10974.25,False,True,False,True,0.00,0.00,0.00,0.00,10924.10,50.15,11048.70,-74.45,10986.00,0.00,-11.75,False
20110307,13:00,10861.85,10679.00,False,True,False,True,0.00,0.00,0.00,0.00,10658.30,20.70,10838.95,-159.95,10774.75,0.00,-95.75,False
20110308,13:00,10940.15,10779.15,True,False,True,False,10962.70,22.55,10868.80,-71.35,0.00,0.00,0.00,0.00,10942.65,2.50,0.00,False
20110309,13:00,11054.00,10904.60,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10955.20,0.00,0.00,True
20110310,13:00,10913.10,10783.30,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10842.75,0.00,0.00,True
20110311,13:00,10904.20,10697.10,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10733.75,0.00,0.00,True
20110314,13:00,10872.05,10731.85,True,False,True,False,10916.65,44.60,10769.15,-102.90,0.00,0.00,0.00,0.00,10908.50,36.45,0.00,False
20110315,13:00,10747.60,10591.30,True,False,True,False,10784.20,36.60,10689.80,-57.80,0.00,0.00,0.00,0.00,10742.50,-5.10,0.00,False
20110316,13:00,10966.60,10804.80,True,False,True,False,11001.25,34.65,10927.95,-38.65,0.00,0.00,0.00,0.00,10959.55,-7.05,0.00,False
20110317,13:00,11018.30,10834.75,False,True,False,True,0.00,0.00,0.00,0.00,10824.40,10.35,10903.40,-68.65,10861.40,0.00,-26.65,False
20110318,13:00,10927.25,10756.90,False,True,False,True,0.00,0.00,0.00,0.00,10699.40,57.50,10786.95,-30.05,10707.05,0.00,49.85,False
20110321,13:00,10814.75,10661.15,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10736.20,0.00,0.00,True
20110322,13:00,10819.35,10726.25,True,False,True,False,10822.25,2.90,10743.20,-76.15,0.00,0.00,0.00,0.00,10776.90,-42.45,0.00,False
20110323,13:00,10947.40,10744.70,True,False,True,False,10972.30,24.90,10908.70,-38.70,0.00,0.00,0.00,0.00,10948.15,0.75,0.00,False
20110324,13:00,11112.60,11006.40,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11075.95,0.00,0.00,True
20110325,13:00,11184.00,11136.45,True,False,True,False,11420.40,236.40,11180.95,-3.05,0.00,0.00,0.00,0.00,11361.10,177.10,0.00,False
20110328,13:00,11557.30,11348.15,True,False,True,False,11599.00,41.70,11492.55,-64.75,0.00,0.00,0.00,0.00,11504.80,-52.50,0.00,False
20110329,13:00,11648.90,11507.45,True,False,True,False,11657.60,8.70,11563.35,-85.55,0.00,0.00,0.00,0.00,11565.15,-83.75,0.00,False
20110330,13:00,11744.95,11627.70,True,False,True,False,11796.90,51.95,11698.00,-46.95,0.00,0.00,0.00,0.00,11790.45,45.50,0.00,False
20110331,13:00,11898.40,11719.50,False,True,False,True,0.00,0.00,0.00,0.00,11569.25,150.25,11755.30,-35.80,11721.05,0.00,-1.55,False
20110401,13:00,11738.45,11540.85,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11600.35,0.00,0.00,True
20110404,13:00,11806.70,11624.55,True,False,True,False,11840.70,34.00,11750.55,-56.15,0.00,0.00,0.00,0.00,11802.90,-3.80,0.00,False
20110405,13:00,11861.15,11678.10,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11785.95,0.00,0.00,True
20110406,13:00,11838.05,11686.55,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11720.85,0.00,0.00,True
20110407,13:00,11805.15,11656.70,True,False,True,False,11825.00,19.85,11724.40,-80.75,0.00,0.00,0.00,0.00,11751.65,-53.50,0.00,False
20110408,13:00,11853.35,11666.50,False,True,False,True,0.00,0.00,0.00,0.00,11632.55,33.95,11738.50,-72.00,11674.55,0.00,-8.05,False
20110411,13:00,11629.55,11551.75,True,False,True,False,11637.00,7.45,11574.20,-55.35,0.00,0.00,0.00,0.00,11575.15,-54.40,0.00,False
20110413,13:00,11748.10,11490.55,True,False,True,False,11855.85,107.75,11726.55,-21.55,0.00,0.00,0.00,0.00,11849.40,101.30,0.00,False
20110415,13:00,11950.70,11707.60,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11727.95,0.00,0.00,True
20110418,13:00,11887.10,11593.10,False,True,False,True,0.00,0.00,0.00,0.00,11525.05,68.05,11619.75,-26.65,11554.80,0.00,38.30,False
20110419,13:00,11631.15,11482.15,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11584.20,0.00,0.00,True
20110420,13:00,11740.30,11627.75,True,True,True,True,11811.20,70.90,11614.60,-125.70,11614.60,13.15,11811.20,-183.45,11801.15,60.85,-173.40,False
20110421,13:00,11926.05,11836.95,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11887.25,0.00,0.00,True
20110425,13:00,11978.05,11865.30,False,False,False,False,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11870.45,0.00,0.00,True
20110426,13:00,11901.30,11709.80,True,False,True,False,11912.45,11.15,11756.40,-144.90,0.00,0.00,0.00,0.00,11854.80,-46.50,0.00,False
20110427,13:00,11936.35,11756.80,False,True,False,True,0.00,0.00,0.00,0.00,11732.25,24.55,11831.60,-74.80,11787.05,0.00,-30.25,False
20110428,13:00,11855.20,11679.30,False,True,False,True,0.00,0.00,0.00,0.00,11659.50,19.80,11774.15,-94.85,11665.30,0.00,14.00,False
20110429,13:00,11723.25,11566.95,False,True,False,True,0.00,0.00,0.00,0.00,11406.85,160.10,11585.05,-18.10,11491.10,0.00,75.85,False
20110502,13:00,11543.35,11224.00,False,True,False,True,0.00,0.00,0.00,0.00,11204.65,19.35,11274.55,-50.55,11228.90,0.00,-4.90,False
20110503,13:00,11349.50,10963.80,False,True,False,True,0.00,0.00,0.00,0.00,10849.15,114.65,10979.00,-15.20,10909.75,0.00,54.05,False
20110504,13:00,10952.60,10797.60,True,False,True,False,11013.40,60.80,10849.70,-102.90,0.00,0.00,0.00,0.00,10921.45,-31.15,0.00,False
20110505,13:00,10987.60,10818.50,False,True,False,True,0.00,0.00,0.00,0.00,10678.60,139.90,10836.25,-17.75,10688.80,0.00,129.70,False
20110506,13:00,11031.80,10797.10,True,False,True,False,11167.40,135.60,10919.60,-112.20,0.00,0.00,0.00,0.00,11126.40,94.60,0.00,False
